Time	Magnet_I_(A)	Magnet_V	B_digital_(T)	B_analog_(T)	moment_(emu)	Hall_voltage	Setpoint_A_(K)	Setpoint_B_(K)	R_A_(Ohm)	R_B_(Ohm)	Main_Heater_(%P)	Secondary_Heater_(%P)	T_VTI_(K)	sensor_B_(K)	sense_phase	sense_amplitude	lock-in_X	lock-in_Y	1st_stage	2nd_stage	Magnet	Switch	He_Pot	Charcoal	Vibrator_ampl.	Vibrator_offset	monitor
5.08378E+4	8.26239E+1	1.80000E+0	6.99990E+0	5.93154E+0	3.43291E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.94530E+0	3.63669E-1	1.94144E-7	1.19606E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80768E+0	4.21234E-4	2.42993E-3
5.08398E+4	8.26239E+1	1.80000E+0	6.99990E+0	5.93154E+0	3.39391E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.99413E+0	3.63485E-1	1.91884E-7	-1.73330E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80713E+0	4.09852E-4	8.70679E-3
5.08418E+4	8.26239E+1	1.80000E+0	6.99990E+0	5.93154E+0	3.36293E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.99001E+0	3.63406E-1	1.90088E-7	-3.99277E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80696E+0	4.20248E-4	8.77825E-3
5.08438E+4	8.26239E+1	1.80000E+0	6.99990E+0	5.93154E+0	3.24733E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.04020E+0	3.63352E-1	1.83515E-7	6.72625E-10	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80647E+0	4.05830E-4	5.93199E-3
5.08458E+4	8.26239E+1	1.80000E+0	6.99990E+0	5.93154E+0	3.26929E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.01121E+0	3.63639E-1	1.84729E-7	-8.59287E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80681E+0	4.30614E-4	1.81579E-3
5.08478E+4	8.26239E+1	1.80000E+0	6.99990E+0	5.93154E+0	3.46912E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.97757E+0	3.63563E-1	1.96170E-7	-6.07894E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80698E+0	4.07889E-4	5.06839E-3
5.08498E+4	8.25462E+1	1.80000E+0	6.99354E+0	5.93154E+0	3.39792E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.94457E+0	3.63576E-1	1.92110E-7	-2.83347E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80761E+0	4.11604E-4	8.47993E-3
5.08518E+4	8.25126E+1	1.51233E+0	6.99168E+0	5.93154E+0	3.35768E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.95266E+0	3.63619E-1	1.89839E-7	-3.81734E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80749E+0	4.11296E-4	2.30283E-3
5.08538E+4	8.25126E+1	1.50000E+0	6.99047E+0	5.93154E+0	3.41106E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.92631E+0	3.63627E-1	1.92895E-7	3.32451E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80777E+0	3.91945E-4	1.00501E-2
5.08558E+4	8.24195E+1	1.50000E+0	6.98343E+0	5.93154E+0	3.30586E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.97164E+0	3.63575E-1	1.86938E-7	3.82050E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80724E+0	4.12736E-4	6.78561E-3
5.08578E+4	8.23972E+1	1.50000E+0	6.98119E+0	5.93154E+0	3.39080E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.92724E+0	3.63562E-1	1.91711E-7	-6.32010E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80756E+0	4.12631E-4	7.76656E-3
5.08598E+4	8.23562E+1	1.50000E+0	6.97857E+0	5.93154E+0	3.47507E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.96303E+0	3.63609E-1	1.96467E-7	-9.92111E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80741E+0	4.21110E-4	3.51155E-3
5.08618E+4	8.23562E+1	1.50000E+0	6.97722E+0	5.93154E+0	3.49083E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.95409E+0	3.63621E-1	1.97398E-7	-3.98359E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80730E+0	4.11694E-4	4.44156E-3
5.08638E+4	8.23115E+1	1.50000E+0	6.97343E+0	5.93154E+0	3.44951E-5	1.21960E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.94140E+0	3.63562E-1	1.95056E-7	9.40884E-10	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.80757E+0	3.98139E-4	3.40656E-3
